_ID, TimeSt,Country,Province,City,Latitude,Longitude
4516516,2017-06-21 0:00,CA,ON,Waterloo,43.49347,-80.49123
4516547,2017-06-21 18:00,CA,ON,London,42.9399,-81.2709
4516550,2017-06-21 15:00,CA,ON,Guelph,43.5776,-80.2201
4516600,2017-06-21 15:00,CA,ON,Stratford,43.3716,-80.9773
4516613,2017-06-21 15:00,CA,ON,Stratford,43.3716,-80.9773
4516693,2017-06-21 14:00,CA,ON,Kitchener,43.4381,-80.5099
4516771,2017-06-21 10:00,CA,ON,Sarnia,42.961,-82.373
4516831,2017-06-21 12:00,CA,ON,London,43.0091,-81.1765
4516915,2017-06-21 15:00,CA,ON,London,43.0091,-81.1765
4516953,2017-06-21 16:00,CA,ON,Kitchener,43.4278,-80.5135
4516966,2017-06-21 1:00,CA,ON,Kitchener,43.4381,-80.5099
4517044,2017-06-21 21:00,CA,ON,Windsor,42.2825,-83.0372
4517047,2017-06-21 12:00,CA,ON,London,43.0091,-81.1765
4517081,2017-06-21 22:00,CA,ON,Windsor,42.24397,-82.98058
4517175,2017-06-21 19:00,CA,ON,Saint Thomas,42.7792,-81.1927
4517220,2017-06-21 18:00,CA,ON,Waterloo,43.4634,-80.5201
4517250,2017-06-21 3:00,CA,ON,Chatham,42.4247,-82.1755
4517303,2017-06-21 3:00,CA,ON,Windsor,42.2957,-82.9599
4517326,2017-06-21 4:00,CA,ON,Guelph,43.5425,-80.2676
4517347,2017-06-21 3:00,CA,ON,Windsor,42.2957,-82.9599
4517349,2017-06-21 14:00,CA,ON,Chatham,42.4247,-82.1755
4517420,2017-06-21 8:00,CA,ON,Guelph,43.5215,-80.2338
4517466,2017-06-21 3:00,CA,ON,Waterloo,43.4678,-80.584
4517518,2017-06-21 21:00,CA,ON,Waterloo,43.4634,-80.5201
4517538,2017-06-21 21:00,CA,ON,Kitchener,43.4453,-80.4905
4517607,2017-06-21 1:00,CA,ON,Chatham,42.4247,-82.1755
4517697,2017-06-21 12:00,CA,ON,Windsor,42.3262,-82.9084
4517720,2017-06-21 22:00,CA,ON,Kitchener,43.4397,-80.434
4517809,2017-06-21 17:00,CA,ON,London,43.0346,-81.2554
4517811,2017-06-21 12:00,CA,ON,Cambridge,43.4194,-80.3255
4517905,2017-06-21 17:00,CA,ON,Windsor,42.2957,-82.9599
4517999,2017-06-21 12:00,CA,ON,Kitchener,43.4553,-80.4845
4518000,2017-06-21 8:00,CA,ON,Kitchener,43.4676,-80.4847
4518002,2017-06-21 1:00,CA,ON,Kitchener,43.4397,-80.434
4518061,2017-06-21 14:00,CA,ON,Waterloo,43.4678,-80.584
4518130,2017-06-21 0:00,CA,ON,London,43.0004,-81.2343
4518153,2017-06-21 9:00,CA,ON,Guelph,43.5425,-80.2676
4518179,2017-06-21 8:00,CA,ON,Kitchener,43.4676,-80.4847
4518212,2017-06-21 16:00,CA,ON,Kitchener,43.4278,-80.5135
4518264,2017-06-21 4:00,CA,ON,Cambridge,43.3842,-80.2968
4518329,2017-06-21 14:00,CA,ON,London,42.9399,-81.2709
4518395,2017-06-21 8:00,CA,ON,Windsor,42.2908,-82.987
4518430,2017-06-21 9:00,CA,ON,Brantford,43.1772,-80.248
4518434,2017-06-21 10:00,CA,ON,Guelph,43.5776,-80.2201
4518512,2017-06-21 1:00,CA,ON,London,42.9611,-81.2431
4518585,2017-06-21 6:00,CA,ON,Guelph,43.5776,-80.2201
4518676,2017-06-21 5:00,CA,ON,Kitchener,43.4397,-80.434
4518758,2017-06-21 13:00,CA,ON,Kitchener,43.4397,-80.434
4518814,2017-06-21 13:00,CA,ON,Cambridge,43.3842,-80.2968
4518832,2017-06-21 3:00,CA,ON,Kitchener,43.4397,-80.434
4518887,2017-06-21 18:00,CA,ON,Waterloo,43.4634,-80.5201
4518918,2017-06-21 8:00,CA,ON,London,42.9399,-81.2709
4518952,2017-06-21 6:00,CA,ON,Kitchener,43.4193,-80.3826
4518992,2017-06-21 9:00,CA,ON,Waterloo,43.4678,-80.584
4519004,2017-06-21 7:00,CA,ON,Tillsonburg,42.86185,-80.72991
4519038,2017-06-21 7:00,CA,ON,Windsor,42.2287,-83.0182
4519066,2017-06-21 7:00,CA,ON,Tillsonburg,42.86185,-80.72991
4519097,2017-06-21 2:00,CA,ON,London,42.9399,-81.2709
4519118,2017-06-21 19:00,CA,ON,Windsor,42.2287,-83.0182
4519156,2017-06-21 10:00,CA,ON,Windsor,42.2287,-83.0182
4519209,2017-06-21 0:00,CA,ON,Hanover,44.1517,-81.0266
4519287,2017-06-21 10:00,CA,ON,Kitchener,43.3904,-80.4317
4519378,2017-06-21 2:00,CA,ON,Kitchener,43.4397,-80.434
4519477,2017-06-21 8:00,CA,ON,Windsor,42.2957,-82.9599
4519555,2017-06-21 22:00,CA,ON,Waterloo,43.4663,-80.5402
4519604,2017-06-21 22:00,CA,ON,Kitchener,43.4193,-80.3826
4519633,2017-06-21 10:00,CA,ON,London,42.9699,-81.2081
4519710,2017-06-21 1:00,CA,ON,Kitchener,43.2994,-80.4496
4519736,2017-06-21 1:00,CA,ON,Kitchener,43.4381,-80.5099
4519766,2017-06-21 10:00,CA,ON,Windsor,42.2545,-82.9809
4519856,2017-06-21 2:00,CA,ON,Kitchener,43.4453,-80.4905
4519930,2017-06-21 19:00,CA,ON,London,43.0004,-81.2343
4520019,2017-06-21 18:00,CA,ON,Guelph,43.5776,-80.2201
4520085,2017-06-21 17:00,CA,ON,Windsor,42.2654,-83.0261
4520130,2017-06-21 15:00,CA,ON,London,43.0091,-81.1765
